INDUSTRY, 0DECEMBER, 2020
Aerospace/Defense, 780, 16753
Apparel, 15, 4085
Automotive, 5899, 26726
Chemical, 345, 755
Construction, 602, 34180
Consumer_Products, 3346, 15930
Education, 2371, 32569
Electronics, 807, 3104
Energy, 196, 7135
Entertainment/Leisure, 3218, 453625
Financial, 2450, 29958
FinTech, 0, 190
Food, 3518, 26277
Government, 2319, 157577
Health_Care/Products, 12477, 108844
Industrial_Goods, 929, 8621
Insurance, 820, 10374
Legal, 0, 924
Media, 0, 1615
Mining, 0, 14
Non-Profit, 528, 15772
Pharmaceutical, 630, 4900
Real_Estate, 1748, 18790
Retail, 11498, 1182776
Services, 3416, 85117
Technology, 17280, 60911
Telecommunications, 43, 5718
Transportation, 247, 738217
Utility, 415, 1512
Warehousing, 1370, 137893
TOTAL, 77267, 3190862
