INDUSTRY, 2015
Aerospace/Defense, 2720
Apparel, 575
Automotive, 22848
Chemical, 418
Commodities, 0
Computer, 9337
Construction, 2386
Consumer_Products, 4920
Education, 62
Electronics, 1471
Energy, 907
Entertainment/Leisure, 3180
Financial, 10736
Food, 3688
Government, 370
Health_Care/Products, 9159
Industrial_Goods, 6553
Insurance, 575
Legal, 2
Media, 650
Non-Profit, 950
Pharmaceutical, 2761
Real_Estate, 30
Retail, 423867
Services, 4142
Telecommunications, 15632
Transportation, 162812
Utility, 0
TOTAL, 690751
