reason, 2021
Closing, 69648
Restructuring, 58712
Market_Conditions, 54160
Demand_Downturn, 48619
Cost-Cutting, 14446
Acquisition/Merger, 14416
No_Reason_Provided, 13622
Contract_Loss, 9676
COVID-19, 8904
Vaccine_Refusal, 7634
Semiconductor_Shortage, 3870
Bankruptcy, 3219
Voluntary_Severance/Buyouts, 2619
Relocation_(International), 2189
Outsourcing_Operations_to_Another_US_Company, 1822
Climate_Change_Concern, 1700
Technological_Update, 1640
Relocation_(Domestic), 1277
COVID-19_Recovery, 1154
Hurricane_Ida, 963
Financial_Loss, 453
Consolidation, 410
Legal_Trouble, 190
Government_Regulation, 185
Supply_Chain_Issues, 181
Natural_Disaster, 90
Wild_Fires, 62
Sexual_Misconduct_Allegations, 40
Police_Protests, 35
Professional_Misconduct_Allegations, 25
Allegedly_Due_to_Unionizing_Attempts, 9
